sample_id	layer	sample_mean	sample_sd	sample_missing_percent	subtype
TCGA-50-5072-01	mRNA	3154.86333506	5986.394662979385	0	LUAD
TCGA-50-5930-01	mRNA	3564.03604848	14432.50498096051	0	LUAD
TCGA-50-5931-01	mRNA	2851.74812582	5471.269502388912	0	LUAD
TCGA-50-5932-01	mRNA	3116.33780346	12424.517672647878	0	LUAD
TCGA-50-5933-01	mRNA	2978.21499564	7356.193185368514	0	LUAD
TCGA-50-5936-01	mRNA	3016.27420986	6608.958272851129	0	LUAD
TCGA-50-5939-01	mRNA	3207.5562875	7501.995547598398	0	LUAD
TCGA-50-5941-01	mRNA	3076.1287034	7925.365492755125	0	LUAD
TCGA-50-5942-01	mRNA	3362.81496064	13752.030831657921	0	LUAD
TCGA-50-5944-01	mRNA	3212.8494543799998	7535.877932828782	0	LUAD
TCGA-50-5946-01	mRNA	2720.61610392	5124.443654306397	0	LUAD
TCGA-50-6590-01	mRNA	2954.21567304	8868.103583294102	0	LUAD
TCGA-50-6591-01	mRNA	2889.9113461	7276.7904093311045	0	LUAD
TCGA-50-6592-01	mRNA	3198.08034782	7356.614776578635	0	LUAD
TCGA-50-6593-01	mRNA	3108.59984798	6593.116633859871	0	LUAD
TCGA-50-6594-01	mRNA	2882.56745742	6831.9231948754305	0	LUAD
TCGA-50-6595-01	mRNA	3246.30124288	8891.435326476227	0	LUAD
TCGA-50-6597-01	mRNA	3698.83585758	11292.402456486385	0	LUAD
TCGA-50-6673-01	mRNA	3169.10041632	7375.747623783588	0	LUAD
TCGA-50-7109-01	mRNA	2868.69091424	7119.747253114602	0	LUAD
TCGA-50-8457-01	mRNA	3289.65079472	15738.643877325707	0	LUAD
TCGA-50-8459-01	mRNA	3731.9236552999996	15202.692213640672	0	LUAD
TCGA-50-8460-01	mRNA	4009.60282846	23275.344083703476	0	LUAD
TCGA-53-7624-01	mRNA	2890.6439341	7400.286507463035	0	LUAD
TCGA-53-7626-01	mRNA	2978.90745858	6551.167505028154	0	LUAD
TCGA-53-7813-01	mRNA	3031.92314816	9182.233722635236	0	LUAD
TCGA-53-A4EZ-01	mRNA	2608.77343348	7133.354043610691	0	LUAD
TCGA-55-5899-01	mRNA	2830.68184572	6184.9634476852125	0	LUAD
TCGA-55-6543-01	mRNA	3258.40252634	11504.872887048414	0	LUAD
TCGA-55-6712-01	mRNA	3307.6524883	8591.085089305952	0	LUAD
TCGA-55-6969-01	mRNA	3158.9790683600004	14793.692473939956	0	LUAD
TCGA-55-6970-01	mRNA	3089.5752529	7026.963628439534	0	LUAD
TCGA-55-6971-01	mRNA	3075.12539158	12408.15245221775	0	LUAD
TCGA-55-6978-01	mRNA	3010.8364493	7698.612860993294	0	LUAD
TCGA-55-6979-01	mRNA	2971.88317366	9233.931487819727	0	LUAD
