layer	value
mRNA	313.862
mRNA	10471.4
mRNA	0.2561
mRNA	4641.36
mRNA	0
mRNA	835.508
mRNA	0
mRNA	7.014
mRNA	0
mRNA	42.4923
mRNA	361.394
mRNA	550.11
mRNA	9.2119
mRNA	546.47
mRNA	1113.31
mRNA	442.094
mRNA	60.8291
mRNA	561.101
mRNA	0
mRNA	108.425
mRNA	166.391
mRNA	42.2764
mRNA	597.33
mRNA	3.7175
mRNA	2033.28
mRNA	8.5547
mRNA	28.5228
mRNA	581.578
mRNA	402.651
mRNA	129.478
mRNA	283.142
mRNA	30.1606
mRNA	914.468999999999
mRNA	652.326
mRNA	656.096
mRNA	3.3779
mRNA	1152.77
mRNA	2015.57
mRNA	1794.64
mRNA	348.889
mRNA	461.49
mRNA	0.7326
mRNA	329.942
mRNA	32.4652
mRNA	3116.54
mRNA	1067.63
mRNA	8.7987
mRNA	36.5475
mRNA	2374.29
mRNA	0.5163
mRNA	1011.19
mRNA	481.693
mRNA	22.5543
mRNA	2255.08
mRNA	387.914
mRNA	496.629
mRNA	1.7558
mRNA	12.9926
mRNA	972.191
mRNA	2762.83
mRNA	0
mRNA	1673.6
mRNA	12.59
mRNA	9576.3
mRNA	188.992
mRNA	1.8127
mRNA	5270.66
mRNA	2073.6
mRNA	395.85
mRNA	178.811
mRNA	187.383
mRNA	3.1603
mRNA	43.1245
mRNA	96.0769
mRNA	0
mRNA	273.853
mRNA	8149.8
mRNA	328.289
mRNA	0
mRNA	1018.04
mRNA	292.108
mRNA	35.6726
mRNA	254.703
mRNA	0
mRNA	1709.41
mRNA	2636.67
mRNA	13.4296
mRNA	139.245
mRNA	248.563
mRNA	1413.63
mRNA	1387.14
mRNA	293.647
mRNA	0
mRNA	237.122
mRNA	0
mRNA	18693.1
mRNA	1586.42
mRNA	0.366
mRNA	1027.91
mRNA	324.914
mRNA	360.24
mRNA	843.341
mRNA	3544.16
mRNA	128.746
mRNA	465.531
mRNA	209.288
mRNA	3.2288
mRNA	3.1825
mRNA	0.8822
mRNA	365.228
mRNA	15.7658
mRNA	961.451
mRNA	627.965
mRNA	16.2255
mRNA	368.814
mRNA	0
mRNA	5744.16
mRNA	47.1892
mRNA	627.796
mRNA	411.236
mRNA	0.4744
mRNA	677.103
mRNA	0
mRNA	250.799
mRNA	4.3242
mRNA	0
mRNA	0
mRNA	0
mRNA	11.5794
mRNA	1519.99
mRNA	3098.32
mRNA	17.8804
mRNA	0
mRNA	22650.2
mRNA	0.3151
mRNA	28.0714
mRNA	6.1927
mRNA	68.1611
mRNA	78.8072
mRNA	795.518
mRNA	3.2348
mRNA	2176.82
mRNA	7.5973
mRNA	0.4028
mRNA	5306.34
mRNA	195.095
mRNA	576.515
mRNA	1825.91
mRNA	0
mRNA	3661.84
mRNA	826.923
mRNA	220.512
mRNA	209.931
mRNA	0
mRNA	1106.79
mRNA	0
mRNA	1135.24
mRNA	1678.83
mRNA	10.8927
mRNA	401.877
mRNA	1394.93
mRNA	85.523
mRNA	16.8586
mRNA	1302.8
mRNA	855.393
mRNA	15764.7
mRNA	157.778
mRNA	1473.79
mRNA	1.5163
mRNA	0
mRNA	173.568
mRNA	1250.19
mRNA	21.2396
mRNA	0
mRNA	24.8445
mRNA	208.59
mRNA	0
mRNA	4.6418
mRNA	575.133
mRNA	445.24
mRNA	0
mRNA	1070.71
mRNA	2189.97
mRNA	47.9783
mRNA	58.0205
mRNA	891.222
mRNA	6.7873
mRNA	1792.41
mRNA	863.82
mRNA	4193.4
mRNA	538.907
mRNA	0
mRNA	299.724
mRNA	149.456
mRNA	378.794
mRNA	0
mRNA	1.0205
mRNA	480.326
mRNA	2.1916
mRNA	1228.02
mRNA	15.6174
mRNA	2523.1
mRNA	1454.38
mRNA	0
mRNA	226.872
mRNA	43.1953
mRNA	113.563
mRNA	4404.39
mRNA	57.4209
mRNA	1307.69
mRNA	717.332
mRNA	11.4054
mRNA	242.745
mRNA	2940.18
mRNA	1768.52
mRNA	487.195
mRNA	772.165
mRNA	233.965
mRNA	0
mRNA	321.045
mRNA	3.4453
mRNA	188.626
mRNA	0
mRNA	0
mRNA	435.478
mRNA	104.24
mRNA	0
mRNA	39.4265
mRNA	793.46
mRNA	19.3766
mRNA	258.359
mRNA	1110.17
mRNA	548.606
mRNA	826.363
mRNA	59.2746
mRNA	0
mRNA	31.9855
mRNA	19.1571
mRNA	1884.05
mRNA	437.893
mRNA	0
mRNA	3286.66
mRNA	345.446
mRNA	1649.75
mRNA	0
mRNA	297.015
mRNA	4200.4
mRNA	2944.46
mRNA	0
mRNA	0
mRNA	471.974
mRNA	21.4328
mRNA	1.6968
mRNA	2763.02
mRNA	18.923
mRNA	0
mRNA	0
mRNA	874.052
mRNA	2528.56
mRNA	2515.83
mRNA	2412.47
mRNA	325.874
mRNA	131.681
mRNA	1021.44
mRNA	308.104
mRNA	0
mRNA	174.594
mRNA	0
mRNA	3053.9
mRNA	6.8415
mRNA	6.0109
mRNA	4844.31
mRNA	6.4075
mRNA	132.562
mRNA	1149.61
