layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
RPPA	1	PRKCA |PKC-alpha	4	0.04156208319303939	0.040552991254870385
RPPA	1	TUBA1B|Acetyl-a-Tubulin-Lys40	4	0.03868358135774673	0.03468739158771038
RPPA	1	RPS6|S6_pS235_S236	4	0.03749625321581264	0.03239919510792072
RPPA	1	MAPK1 MAPK3|MAPK_pT202_Y204	4	0.03211186565895375	0.03181208258456822
RPPA	1	ANXA1|Annexin-1	4	0.030813380965572224	0.03802045665184417
RPPA	1	PDK1|PDK1_pS241	4	0.026451963456508912	0.026489972961281735
RPPA	1	BAD|Bad_pS112	4	0.024247487083993106	0.01809673013637846
RPPA	1	YAP1|YAP_pS127	4	0.015282813747757638	0.01823107125273123
RPPA	1	BECN1|Beclin	3	0.050103674183750425	0.05753169841497244
RPPA	1	MSH2|MSH2	3	0.036115785585881625	0.0413071812191097
RPPA	1	TGM2|Transglutaminase	3	0.030491389662386237	0.029585923372834434
RPPA	1	PRKCD|PKC-delta_pS664	3	0.02705883256720605	0.03591869183965497
RPPA	1	NRG1|Heregulin	3	0.017534926128293608	0.018887477839960566
RPPA	1	XRCC1|XRCC1	3	0.017521663445991733	0.015608301075516647
RPPA	1	PARK7|DJ-1	3	0.012415340904539876	0.014768215799919871
RPPA	1	TP53|p53	2	0.02537207257400979	0.02537207257400979
RPPA	1	CASP7|Caspase-7_cleavedD198	2	0.01874702419277908	0.01874702419277908
RPPA	1	EGFR|EGFR	2	0.01313071072738247	0.01313071072738247
RPPA	1	PECAM1|CD31	2	0.004809610940465261	0.004809610940465261
RPPA	1	YWHAZ|14-3-3_zeta	2	0.0030817233709111084	0.0030817233709111084
RPPA	1	PRKAA1|AMPK_alpha	1	0.028313568181840547	0.028313568181840547
RPPA	1	MAP2K1|MEK1_pS217_S221	1	0.018636539895412686	0.018636539895412686
RPPA	1	TSC2|Tuberin	1	0.013380945153286727	0.013380945153286727
RPPA	1	CCNE1|Cyclin_E1	1	0.012995615223661595	0.012995615223661595
RPPA	1	RAB25|Rab25	1	0.011903526981868091	0.011903526981868091
RPPA	2	PIK3R1 PIK3R2|PI3K-p85	5	0.4464123131340972	0.39842255309835517
RPPA	2	CLDN7|Claudin-7	5	0.4084261024533756	0.3876227015804531
RPPA	2	PREX1|PREX1	5	0.3044509380262315	0.30406418503796256
RPPA	2	LCK|Lck	5	0.22985192563080328	0.22539267563546891
RPPA	2	SYK|Syk	5	0.21406317478860343	0.215522302771471
RPPA	2	CAV1|Caveolin-1	5	0.1935514069518658	0.17829408759738768
RPPA	2	NOTCH1|Notch1	5	0.1580083671098662	0.1463376726860758
RPPA	2	RB1|Rb_pS807_S811	5	0.1376473359235619	0.13805305724507846
RPPA	2	RAB25|Rab25	5	0.13398508599820097	0.1190200642610788
RPPA	2	FASN|FASN	5	0.09836878253100347	0.13124524596139753
RPPA	2	STAT5A|STAT5-alpha	4	0.2127134644246092	0.2101754998468951
RPPA	2	ANXA1|Annexin-1	4	0.17554628409932854	0.15760072808522124
RPPA	2	ATM|ATM	4	0.17001797106075384	0.17298097957286765
RPPA	2	PRKAA1|AMPK_pT172	4	0.14974569341566893	0.14102540647198686
RPPA	2	NF2|NF2	4	0.14227229344776754	0.1567265753146353
RPPA	2	MYH9|Myosin-IIa-pS1943	4	0.13887621492991883	0.13180380144414405
RPPA	2	TGM2|Transglutaminase	4	0.1385895273268187	0.12894285990700866
RPPA	2	KIT|c-Kit	4	0.12076766549128204	0.11779031578277845
RPPA	2	CCNE2|Cyclin_E2	4	0.11904766586815035	0.10937000030908532
RPPA	2	MAPK14|p38_MAPK	4	0.11736653525315634	0.12079933083077532
RPPA	2	CASP7|Caspase-7_cleavedD198	4	0.1090109975765819	0.10956794676823318
RPPA	2	DIABLO|Smac	4	0.1007299403600932	0.11669797704714688
RPPA	2	PRKAA1|AMPK_alpha	4	0.09222547128012877	0.09234825543959127
RPPA	2	AKT1 AKT2 AKT3|Akt_pS473	4	0.09163769147084086	0.07286928738388204
RPPA	2	CCNB1|Cyclin_B1	4	0.09146031667464655	0.09523323303216454
RPPA	2	MAPK1|ERK2	4	0.06762127001788677	0.07398152633532225
RPPA	2	STK11|LKB1	4	0.06651525827401567	0.05845008047125266
RPPA	2	PRKCA |PKC-alpha	4	0.06410134833940212	0.0659055243150912
RPPA	2	PRKCA |PKC-alpha_pS657	4	0.06379655664214667	0.05927258822887287
RPPA	2	PEA15|PEA15	4	0.06133963633069873	0.0652690238444101
RPPA	2	MSH6|MSH6	3	0.09421179510346066	0.09656974826298673
RPPA	2	PDK1|PDK1_pS241	3	0.07315409710419353	0.0742899897199107
RPPA	2	PTEN|PTEN	3	0.06061156218599675	0.06257480141018948
RPPA	2	BAK1|Bak	3	0.056776988672663314	0.05232129676632102
RPPA	2	MTOR|mTOR	3	0.050251539981536864	0.05023268333276856
RPPA	2	PIK3CA |PI3K-p110-alpha	3	0.044294519994326764	0.042028553837500635
RPPA	2	RICTOR|Rictor	3	0.036910061237639	0.016729005425845236
RPPA	2	CDKN1B|p27	3	0.03576127928985559	0.03680809482617495
RPPA	2	BCL2|Bcl-2	3	0.0354048826687207	0.03354085849075964
RPPA	2	CHEK2|Chk2	3	0.03301104238989478	0.010060656290832488
RPPA	2	XRCC1|XRCC1	3	0.03115668041308779	0.03199876271264503
RPPA	2	IGFBP2|IGFBP2	3	0.02708082588775034	0.02646936097185205
RPPA	2	EIF4EBP1|4E-BP1_pT37T46	3	0.02683170448443434	0.03351309203335486
